"586","Farm/Farm and Ranch Management"
"587","Work and Family Studies"
"588","Family Resource Management Studies, General"
"589","Parks, Recreation and Leisure Facilities Management"
"590","Metal Fabricator"
"591","Family Systems"
"592","Hospital and Health Care Facilities Administration/Management"
"593","Fashion Modeling"
"594","Maternal and Fetal Medicine Residency Program"
"595","Finance, General"
"596","Financial Planning and Services"
"597","International Finance"
"598","Financial Mathematics"
"599","Homeland Security, Law Enforcement, Firefighting and Related Protective Services"
"600","Fire Science/Fire-fighting"
"601","Wildlife, Fish and Wildlands Science and Management"
"602","Public Finance"
"603","Parks, Recreation, Leisure, and Fitness Studies"
"604","Fishing and Fisheries Sciences and Management"
"605","Physical Fitness Technician"
"606","Hydraulics and Fluid Power Technology/Technician"
"607","Flight Instructor"
"608","Flagging and Traffic Control"
"609","Carpet, Floor, and Tile Worker"
"610","Floriculture/Floristry Operations and Management"
"611","Foods, Nutrition, and Wellness Studies, General"
"612","Food Science"
"613","Foreign Languages and Literatures, General"
"614","Food Technology and Processing"
"615","Forestry"
"616","Food Science and Technology"
"617","Forensic Science and Technology"
"618","Forensic Psychology"
"619","Forest Management/Forest Resources Management"
"620","Restaurant/Food Services Management"
"621","Topology and Foundations"
"622","Forest Sciences and Biology"
"623","Forest Engineering"
"624","Folklore Studies"
"625","Forest Resources Production and Management"
"626","Foods, Nutrition, and Related Services"
"627","Financial Forensics and Fraud Investigation"
"628","Forensic Chemistry"
"629","French Studies"
"630","French Language and Literature"
"631","Teaching French as a Second or Foreign Language"
"632","Franchising and Franchise Operations"
"633","Teaching English or French as a Second or Foreign Language"
"634","French Language Teacher Education"
"635","Furniture Design and Manufacturing"
"636","Analysis and Functional Analysis"
"637","Funeral Service and Mortuary Science"
"638","Computer Games and Programming Skills"
"639","Gay/Lesbian Studies"
"640","Pediatric Gastroenterology Residency Program"
"641","Gastroenterology Residency Program"
"642","General Studies"
"643","Marketing/Marketing Management, General"
"644","Management Information Systems, General"
"645","Geography"
"646","Microbiology, General"
"647","Computer and Information Sciences, General"
"648","Education/Teaching of the Gifted and Talented"
"649","International/Global Studies"
"650","Glazier"
"651","Canadian Government and Politics"
"652","Golf Course Operation and Grounds Management"
"653","Graphic Communications"
"654","Computer Graphics"
"655","Landscaping and Groundskeeping"
"656","Modern Greek Language and Literature"
"657","Medical Clinical Sciences/Graduate Medical Studies"
"658","Advanced/Graduate Dentistry and Oral Sciences"
"659","Ancient/Classical Greek Language and Literature"
"660","Greenhouse Operations and Management"
"661","Ground Transportation"
"662","Cosmetology and Related Personal Grooming Services"
"663","Gunsmithing/Gunsmith"
"664","Gynecologic Oncology Residency Program"
"665","Obstetrics and Gynecology Residency Program"
"666","Computer Hardware Engineering"
"667","Hair Styling/Stylist and Hair Design"
"668","Computer Hardware Technology/Technician"
"669","Handicrafts and Model-Making"
"670","Hazardous Materials Management and Waste Technology/Technician"
"671","Surgery of the Hand Residency Program"
"672","Heating, Air Conditioning, Ventilation and Refrigeration Maintenance Technology/Technician (HAC, HACR, HVAC, HVACR)"
"673","Hazardous Materials Information Systems Technology/Technician"
"674","Public Health"
"675","Health and Wellness, General"
"676","Mental Health Counseling/Counselor"
"677","Environmental Health"
"678","Health/Medical Physics"
"679","International Public Health/International Health"
"680","Health Information/Medical Records Technology/Technician"
"681","Community Health and Preventive Medicine"
"682","Community Health Services/Liaison/Counseling"
"683","Occupational Health and Industrial Hygiene"
"684","Health Law"
"685","Traditional Chinese Medicine and Chinese Herbology"
"686","Health Communication"
"687","History"
"688","Transportation and Highway Engineering"
"689","Historic Preservation and Conservation"
"690","Music History, Literature, and Theory"
"691","History and Philosophy of Science and Technology"
"692","Military History"
"693","Plasma and High-Temperature Physics"
"694","Asian History"
"695","Junior High/Intermediate/Middle School Education and Teaching"
"696","Hotel, Motel, and Restaurant Management"
"697","Homeland Security"
"698","Homeopathic Medicine/Homeopathy"
"699","Ornamental Horticulture"
"700","Holistic Health"
"701","Horticultural Science"
"702","Housing and Human Environments"
"703","Holocaust and Related Studies"
"704","Home Maintenance and Improvement"
"705","Humanities/Humanistic Studies"
"706","Human Services, General"
"707","Human Computer Interaction"
"708","Human Nutrition"
"709","Human/Medical Genetics"
"710","Animal/Livestock Husbandry and Production"
"711","Hungarian/Magyar Language and Literature"
"712","Liberal Arts and Sciences, General Studies and Humanities"
"713","Hydrology and Water Resources Science"
"714","Hypnotherapy/Hypnotherapist"
"715","Undersea and Hyperbaric Medicine Residency Program"
"716","Spanish and Iberian Studies"
"717","Illustration"
"718","Medical Illustration/Medical Illustrator"
"719","Medical Illustration and Informatics"
"720","Public Relations/Image Management"
"721","Immunology"
"722","Microbiology and Immunology"
"723","Platemaker/Imager"
"724","Veterinary Microbiology and Immunobiology"
"725","Microbiological Sciences and Immunology"
"726","Immunopathology Residency Program"
"727","Magnetic Resonance Imaging (MRI) Technology/Technician"
"728","Personal Health Improvement and Maintenance"
"729","Education/Teaching of Individuals with Speech or Language Impairments"
"730","Education/Teaching of Individuals with Orthopedic and Other Physical Health Impairments"
"731","Education/Teaching of Individuals with Hearing Impairments Including Deafness"
"732","Information Technology"
"733","Informatics"
"734","Information Technology Project Management"
"735","International Marketing"
"736","Library and Information Science"
"737","Information Resources Management"
"738","Industrial and Organizational Psychology"
"739","Irish Studies"
"740","Iranian/Persian Languages, Literatures, and Linguistics"
"741","Special, Irregular and Counterterrorist Operations"
"742","Ironworking/Ironworker"
"743","Iranian Languages, Literatures, and Linguistics"
"744","Islamic Studies"
"745","Italian Studies"
"746","Italian Language and Literature"
"747","Japanese Studies"
"748","Japanese Language and Literature"
"749","Jazz/Jazz Studies"
"750","Jewish/Judaic Studies"
"751","Watchmaking and Jewelrymaking"
"752","Metal and Jewelry Arts"
"753","Journalism"
"754","Job-Seeking/Changing Skills"
"755","Military Joint Operations Planning and Strategy"
"756","Joint Command/Task Force (C3, C4I) Systems"
"757","Military Information Operations/Joint Information Operations"
"758","Communication, Journalism, and Related Programs"
"759","Army JROTC/ROTC"
"760","Navy/Marine Corps JROTC/ROTC"
"761","Juvenile Corrections"
